name;type;id;formulation;N;K;T_max;C;network_type;m_solution;solve_time;status;time_limit;objective;best_bound;best_int;mip_gap;Wp;gap;n_vars;n_cons;n_nodes;n_added_cuts;n_solutions;routes;timestamp;Z_TS;m;W_TS;CPU_sec;Z_CP;opt_gap;ts_vs_cp_gap;ts_vs_gh_gap
large_R75_K3T4;large;20,0;mtz;75,0;3,0;4,0;12,0;R;46,0;3600,409;9,0;60,0;0,588235351;0,704511272;0,704511272;0,197669048;11,77226414;0,197669048;17632,0;17423,0;123087,0;0,0;10,0;Route of vehicle 1: ([0, 53, 58, 13, 6, 59, 37, 42, 14, 44, 16, 61, 17, 45, 8, 18, 0], 3.945712811405355) // Route of vehicle 2: ([0, 52, 31, 70, 10, 63, 32, 30, 20, 51, 33, 50, 1, 69, 27, 0], 3.9149956224371674) // Route of vehicle 3: ([0, 28, 12, 68, 24, 54, 55, 25, 39, 56, 75, 22, 74, 72, 73, 21, 40, 26, 0], 3.9115557105083867);2023-08-01_23-26-15;0,588;46,0;11,8;472,0;0,444;54,8;32,4;66,6
large_RC50_K3T3;large;37,0;scf;50,0;3,0;3,0;12,0;RC;22,0;3600,151;9,0;60,0;0,357143172;0,534056983;0,534056983;0,495358;8,9;0,495358;5253,0;2915,0;524327,0;0,0;10,0;Route of vehicle 1: ([0, 32, 46, 42, 36, 35, 45, 41, 0], 3.0) // Route of vehicle 2: ([0, 40, 34, 22, 24, 19, 20, 31, 0], 3.0) // Route of vehicle 3: ([0, 50, 2, 4, 8, 7, 6, 39, 48, 0], 2.9);2023-08-01_23-55-15;0,357;22,0;22,0;130,0;0,286;193,2;24,8;402,8
large_RC100_K6T6;large;29,0;scf;100,0;6,0;6,0;12,0;RC;100,0;178,6030002;2,0;60,0;1,0;1,0;1,0;0,0;34,91196116;0,0;20503,0;10815,0;1941,0;0,0;10,0;Route of vehicle 1: ([0, 54, 72, 41, 37, 40, 35, 36, 38, 39, 42, 43, 44, 71, 93, 94, 64, 0], 5.530050875043944) // Route of vehicle 2: ([0, 65, 83, 57, 52, 86, 9, 13, 15, 11, 10, 12, 16, 14, 47, 17, 73, 78, 88, 82, 0], 5.790311986528084) // Route of vehicle 3: ([0, 66, 99, 59, 97, 87, 75, 77, 58, 74, 53, 98, 69, 0], 5.904707692202654) // Route of vehicle 4: ([0, 90, 55, 60, 79, 7, 8, 46, 45, 5, 3, 1, 4, 2, 6, 100, 81, 70, 68, 61, 0], 5.970233390310453) // Route of vehicle 5: ([0, 91, 56, 84, 89, 76, 63, 85, 51, 19, 18, 21, 48, 23, 25, 49, 24, 22, 20, 80, 0], 5.983505324509019) // Route of vehicle 6: ([0, 96, 67, 50, 62, 32, 27, 30, 26, 28, 29, 31, 34, 33, 95, 92, 0], 5.733151890208953);2023-08-02_01-15-05;1,0;100,0;27,5;2844,0;0,52;92,3;92,3;10,7
large_RC100_K3T8;large;27,0;scf;100,0;3,0;8,0;12,0;RC;100,0;1209,866;2,0;60,0;1,0;1,0;1,0;0,0;23,78851155;0,0;20503,0;10815,0;25068,0;0,0;10,0;Route of vehicle 1: ([0, 68, 61, 42, 44, 43, 40, 36, 35, 37, 38, 39, 41, 72, 54, 81, 96, 94, 93, 71, 34, 31, 29, 27, 26, 28, 30, 32, 33, 50, 62, 67, 95, 92, 91, 80, 0], 7.9411477314795995) // Route of vehicle 2: ([0, 69, 82, 99, 10, 12, 14, 17, 47, 16, 15, 13, 9, 11, 78, 73, 79, 7, 8, 46, 45, 5, 1, 3, 4, 6, 2, 100, 70, 55, 88, 60, 53, 98, 0], 7.901217922426181) // Route of vehicle 3: ([0, 90, 65, 83, 57, 52, 86, 74, 87, 59, 97, 75, 58, 77, 25, 23, 21, 48, 18, 19, 49, 24, 22, 20, 51, 76, 89, 63, 85, 84, 56, 64, 66, 0], 7.946145893898024);2023-08-02_01-44-29;0,96;97,0;22,9;2634,0;0,52;92,3;84,6;60,0
large_R50_K3T125;large;62,0;mtz_opt;50,0;3,0;125,0;12,0;R;18,0;3600,127;9,0;60,0;0,333333333;1,0;1,0;2,0;358,9619972;2,0;2703,0;2664,0;335666,0;0,0;8,0;Route of vehicle 1: ([0, 3, 8, 19, 48, 0], 121.1742362400391) // Route of vehicle 2: ([0, 4, 21, 27, 7, 10, 31, 0], 115.05707872092032) // Route of vehicle 3: ([0, 6, 13, 41, 15, 44, 16, 5, 37, 0], 122.73068219526598);2023-08-02_02-44-29;0,667;34,0;351,7;270,0;0,5;62,4;33,4;71,5
large_RC100_K3T150;large;73,0;mtz_opt;100,0;3,0;150,0;12,0;RC;33,0;3600,264;9,0;60,0;0,296296296;1,0;1,0;2,375;433,7509416;2,375;10403,0;10314,0;28122,0;0,0;10,0;Route of vehicle 1: ([0, 66, 84, 85, 31, 27, 28, 30, 34, 62, 67, 96, 0], 147.40022555018237) // Route of vehicle 2: ([0, 83, 57, 24, 52, 99, 91, 92, 71, 72, 0], 149.00202814581684) // Route of vehicle 3: ([0, 90, 100, 6, 7, 46, 4, 5, 3, 53, 98, 88, 69, 55, 0], 137.34868787817152);2023-08-02_03-44-31;0,588;62,0;446,0;1133,0;0,33;152,1;76,6;63,3
large_RC50_K3T4;large;38,0;mtz_opt;50,0;3,0;4,0;12,0;RC;27,0;3600,157;9,0;60,0;0,48;1,0;1,0;1,083333333;11,68470432;1,083333333;2703,0;2664,0;313403,0;0,0;10,0;Route of vehicle 1: ([0, 40, 48, 39, 3, 1, 5, 8, 7, 33, 0], 3.9578706858593797) // Route of vehicle 2: ([0, 41, 24, 25, 23, 21, 18, 22, 19, 34, 0], 3.9204857396642367) // Route of vehicle 3: ([0, 46, 43, 32, 44, 42, 45, 35, 36, 31, 0], 3.8063478986168793);2023-08-02_04-44-31;0,571;33,0;10,8;285,0;0,5;100,0;14,2;59,9
large_R100_K3T150;large;49,0;mtz_opt;100,0;3,0;150,0;12,0;R;38,0;3600,351;9,0;60,0;0,344827586;1,0;1,0;1,9;443,6709304;1,9;10403,0;10314,0;38818,0;0,0;10,0;Route of vehicle 1: ([0, 28, 52, 31, 10, 88, 7, 69, 53, 26, 54, 24, 80, 0], 148.41714070823994) // Route of vehicle 2: ([0, 59, 94, 13, 92, 37, 100, 91, 57, 23, 74, 72, 75, 56, 22, 73, 0], 148.05115772309264) // Route of vehicle 3: ([0, 76, 12, 68, 3, 79, 81, 9, 51, 66, 32, 83, 0], 147.202631958027);2023-08-02_05-44-33;0,706;72,0;440,1;1392,0;0,47;70,5;49,9;60,5
large_R50_K4T150;large;66,0;mtz;50,0;4,0;150,0;12,0;R;50,0;3172,268;2,0;60,0;1,0;1,0;1,0;0,0;594,8235049;0,0;10659,0;10476,0;75911,0;0,0;10,0;Route of vehicle 1: ([0, 40, 21, 22, 41, 43, 38, 16, 5, 17, 45, 8, 0], 147.72722617259177) // Route of vehicle 2: ([0, 26, 4, 25, 39, 23, 15, 42, 14, 44, 37, 2, 13, 0], 149.18275846113315) // Route of vehicle 3: ([0, 6, 18, 7, 48, 47, 46, 36, 49, 19, 11, 10, 1, 50, 27, 0], 148.05453658575777) // Route of vehicle 4: ([0, 31, 32, 30, 20, 9, 35, 34, 33, 3, 29, 24, 12, 28, 0], 149.85898372887334);2023-08-02_06-37-25;1,0;50,0;547,3;642,0;0,81;23,5;23,5;33,3
large_R75_K3T175;large;69,0;cutset;75,0;3,0;175,0;12,0;R;0,0;3601,134;9,0;60,0;0,0;0,96228012;0,96228012;inf;0,0;inf;17557,0;773,0;188970,0;1209,0;1,0;Route of vehicle 1: ([0, 0], 0.0) // Route of vehicle 2: ([0, 0], 0.0) // Route of vehicle 3: ([0, 0], 0.0);2023-08-02_07-37-28;0,828;64,0;515,5;1066,0;0,6;55,8;38,0;45,0
